Category,Attribute,MCP server 1,MCP server 2,MCP server 3,MCP server 4,MCP server 5,MCP server 6,MCP server 7,MCP server 8,MCP server 9,MCP server 10,MCP server 11,MCP server 12,MCP server 13,MCP server 14,MCP server 15
MCP Protocol Version,2025-03-26,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
MCP Protocol Version,2024-11-05,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes
Pricing,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pricing,Paid,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hosting Provider,SaaS Vendor,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No
Hosting Provider,3rd Party SaaS,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
Hosting Provider,GitHub,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hosting Provider,GitLab,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hosting Provider,Bitbucket,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hosting Provider,SourceHut/Gitea/Gogs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Authentication,OAuth 2.1 - Authorization Code Flow,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
Authentication,OAuth 2.1 - Client Credentials Flow,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Authentication,Bearer Token,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No
Authentication,Personal Access Token,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Authentication,API Token,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Data Protection,TLS 1.3,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Data Protection,TLS 1.2,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
Data Protection,Lower versions or no encryption,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
Transport Protocol,STDIO,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Transport Protocol,HTTP/SSE,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Transport Protocol,StreamableHttp,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
Transport Protocol,FastAPI,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Tools Operations,Read-only operations,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Tools Operations,Read-only and/or update operations,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No
Tools Operations,Read-only update and/or delete operations,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
Deployment Approach,Local,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Deployment Approach,Container,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
Deployment Approach,Remote,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
Compliance & Certifications,HIPAA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Compliance & Certifications,GDPR,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Compliance & Certifications,SOC 2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Compliance & Certifications,FedRAMP,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Capabilities,Tools,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Capabilities,Resources,No,NA,NA,Yes,NA,Yes,No,NA,No,No,Yes,No,No,No,No
Capabilities,Prompts,No,NA,NA,No,NA,Yes,Yes,NA,No,No,No,No,No,No,No
Capabilities,Sampling,No,NA,NA,No,NA,No,No,NA,No,No,No,No,No,No,No
Capabilities - Tools,detailed_info,"""Search & Query Utilities
  • chroma_list_collections – List all collection names in the Chroma database with pagination support
  • chroma_peek_collection – Peek at documents in a Chroma collection
  • chroma_get_collection_info – Get information about a Chroma collection
  • chroma_get_collection_count – Get the number of documents in a Chroma collection
  • chroma_query_documents – Query documents from a Chroma collection with advanced filtering and semantic search
  • chroma_get_documents – Get documents from a Chroma collection with optional filtering and ID-based retrieval

Collection Management
  • chroma_create_collection – Create a new Chroma collection with configurable HNSW parameters
  • chroma_modify_collection – Modify a Chroma collection's name or metadata
  • chroma_fork_collection – Fork a Chroma collection

Data Operations
  • chroma_add_documents – Add documents to a Chroma collection with embedding support
  • chroma_update_documents – Update documents in a Chroma collection""","Biomedical Search & Discovery
  • biomcp – Run read-only BioMCP commands for biomedical search, detail retrieval, discovery, enrichment, and study analytics. Allowed commands: search/get/helpers/study/list/version/health/batch/enrich/discover/skill","Search & Query Utilities
  • microsoft_docs_search – Semantic search across official Microsoft technical documentation, returns up to 10 content chunks with title, URL, and excerpt
  • microsoft_code_sample_search – Search for code snippets and examples in Microsoft Learn, returns up to 20 high-quality code samples with optional language filtering
 

 Content Retrieval
  • microsoft_docs_fetch – Fetch and convert full Microsoft documentation pages to markdown format","""Search & Query Utilities
  • search_providers – Search Terraform providers in public registry
  • get_provider_details – Get detailed provider information
  • get_latest_provider_version – Get latest provider version
  • get_provider_capabilities – Get provider capabilities
  • search_modules – Search Terraform modules
  • get_module_details – Get module details
  • get_latest_module_version – Get latest module version
  • search_policies – Search Terraform policies
  • get_policy_details – Get policy details
  • search_private_modules – Search private registry modules
  • get_private_module_details – Get private module details
  • search_private_providers – Search private registry providers
  • get_private_provider_details – Get private provider details

Project Management
  • list_terraform_orgs – List Terraform organizations
  • list_terraform_projects – List Terraform projects
  • list_workspaces – List workspaces in an organization
  • get_workspace_details – Get workspace details
  • list_runs – List runs in a workspace
  • get_run_details – Get run details
  • list_workspace_variables – List workspace variables
  • list_variable_sets – List variable sets
  • list_stacks – List stacks
  • get_stack_details – Get stack details
  • list_workspace_policy_sets – List policy sets attached to workspaces

Team & Workspace Metadata
  • create_workspace_tags – Create workspace tags
  • read_workspace_tags – Read workspace tags
  • get_token_permissions – Get API token permissions""","Search & Query Utilities
  • search – Context-aware tool search using fuzzy matching and relevance scoring across all connected MCP servers with keywords
 

 Admin & Miscellaneous
  • execute – Execute any discovered tool from downstream MCP servers with parameter validation and comprehensive error handling","Documentation & Analysis
  • get_documentation – Retrieve specific Svelte 5 and SvelteKit documentation sections by title or file path; supports searching by keywords and multiple sections
  • list_sections – List all available documentation sections with use_cases metadata to identify relevant documentation for specific tasks
  • svelte_autofixer – Analyze and fix Svelte components; validates syntax, provides compilation issues, ESLint warnings, and auto-fixer suggestions
  • playground_link – Generate shareable Svelte Playground links with component code included for interactive testing","Search & Query Utilities
  • run_query – Execute SQL queries on ClickHouse cluster (read-only by default, write access optional)
  • list_databases – List all databases on ClickHouse cluster
  • list_tables – List tables in a database with pagination support
  • run_chdb_select_query – Execute SQL queries using chDB embedded ClickHouse engine
 

 Embedded Query Engine
  • run_chdb_select_query – Query data directly from files, URLs, and databases without ETL via chDB","Communication Services
  • sendSmsToUser – Send individual SMS messages with DLT compliance
  • sendVoiceCallToUser – Initiate voice calls to phone numbers
  • outgoingCallToConnectNumber – Connect two numbers in a voice call
  • connectNumberToCallFlow – Route calls to predefined Exotel call flows
  • sendMessageToBulkNumbers – Send same SMS to multiple recipients
  • sendDynamicBulkSms – Send personalized SMS to multiple recipients
 

 Status & Tracking
  • getSmsCallbacks – Fetch SMS delivery status and callback records
  • getVoiceCallCallbacks – Retrieve voice call status records
  • searchVoiceCallbacksByNumber – Search voice callbacks by phone number
  • getCallDetails – Get detailed information for specific calls
  • getBulkCallDetails – Fetch bulk voice call details by from number
  • getNumberMetadata – Retrieve metadata for phone numbers
 

 Audio Tools
  • quickPlayAudio – One-click browser-based audio playback
  • openAudioPlayer – Open web audio player interface for manual control
  • downloadAudioQuick – Get direct download links for audio files","Search & Query Utilities
  • get_current_time – Return current UTC timestamp
  • get_unix_timestamp – Convert natural language or date expressions to Unix timestamp
  • check_decryption_status – Verify whether an encrypted message has reached its unlock time
  • explain_timelock_encryption – Provide educational material about timelock encryption methodology
 

 Other
  • timelock_encrypt – Encrypt a message with a future-based timelock using Shutter Network threshold cryptography
  • decrypt_timelock_message – Retrieve plaintext from a sealed message once its unlock time has passed","""Search & Query Utilities
  • map_geocode – Convert address to geographic coordinates
  • map_reverse_geocode – Get address, region, and POI info from coordinates
  • map_search_places – Search for global POIs by keyword, type, region, or within a radius
  • map_place_details – Get detailed info for a POI by its unique ID
  • map_directions_matrix – Batch route planning for multiple origins/destinations (driving, walking, cycling)
  • map_directions – Plan routes between two points (driving, walking, cycling, transit)
  • map_weather – Query real-time and forecast weather by region or coordinates
  • map_ip_location – Locate city and coordinates by IP address
  • map_road_traffic – Query real-time traffic conditions for roads or regions
  • map_poi_extract – Extract POI info from free text (requires advanced permission)""","""Issue Management
  • add_alert_comment – Add a comment to a Panther alert
  • start_ai_alert_triage – Start AI-powered triage analysis for an alert with intelligent insights
  • get_ai_alert_triage_summary – Retrieve the latest AI triage summary for a specific alert
  • get_alert – Get detailed information about a specific alert
  • get_alert_events – Get a sampling of events for a given alert
  • list_alerts – List alerts with comprehensive filtering options (date range, severity, status)
  • bulk_update_alerts – Bulk update multiple alerts with status, assignee, and/or comment changes
  • update_alert_assignee – Update the assignee of one or more alerts
  • update_alert_status – Update the status of one or more alerts
  • list_alert_comments – List all comments for a specific alert

Search & Query Utilities
  • query_data_lake – Execute SQL queries against Panther’s data lake with synchronous results
  • get_table_schema – Get schema information for a specific table
  • list_databases – List all available data lake databases in Panther
  • list_database_tables – List all available tables for a specific database
  • get_alert_event_stats – Analyze patterns across alerts by aggregating event data into time-based statistics
  • list_scheduled_queries – List all scheduled queries with pagination support
  • get_scheduled_query – Get detailed information about a specific scheduled query
  • list_log_sources – List log sources with optional filters (health status, log types, integration type)
  • get_http_log_source – Get detailed information about a specific HTTP log source
  • list_global_helpers – List global helper functions with filtering options
  • get_global_helper – Get detailed information and complete Python code for a global helper
  • list_data_models – List data models that control UDM mappings in rules
  • get_data_model – Get detailed information about a specific data model
  • list_log_type_schemas – List available log type schemas with optional filters
  • get_log_type_schema_details – Get detailed information for specific log type schemas
  • get_rule_alert_metrics – Get metrics about alerts grouped by rule
  • get_severity_alert_metrics – Get metrics about alerts grouped by severity
  • get_bytes_processed_metrics – Get data ingestion metrics by log type and source

Admin & Miscellaneous
  • list_detections – List detections with comprehensive filtering (type, name, severity, tags, destinations)
  • get_detection – Get detailed information about a specific detection including body and tests
  • disable_detection – Disable a detection by setting enabled to false

Team & Workspace Metadata
  • list_users – List all Panther user accounts with pagination support
  • get_user – Get detailed information about a specific user
  • get_permissions – Get the current user’s permissions
  • list_roles – List all roles with filtering options (name search, role IDs, sort direction)
  • get_role – Get detailed information about a specific role including permissions""","Search & Query Utilities
  • get_exceptions – Retrieve production exceptions for a service
  • get_service_summary – Get high-level summary of a service
  • get_service_environments – List environments for a service
  • get_service_performance_details – Fetch detailed performance metrics for a service
  • get_service_operations_summary – Summarize operations for a service
  • get_service_dependency_graph – Retrieve the dependency graph of a service
  • prometheus_range_query – Execute a Prometheus range query
  • prometheus_instant_query – Execute a Prometheus instant query
  • prometheus_label_values – Fetch Prometheus label values
  • prometheus_labels – List all Prometheus labels
  • get_logs – Retrieve logs matching query criteria
  • get_service_logs – Fetch logs for a specific service
  • get_log_attributes – Get attributes available in logs
  • get_drop_rules – List configured log drop rules
  • get_traces – Retrieve distributed traces
  • get_service_traces – Fetch traces for a specific service
  • get_trace_attributes – Get attributes available in traces
  • get_change_events – List change events in the system
  • get_alert_config – Retrieve alert configuration details
  • get_alerts – List active alerts
 

 Admin & Miscellaneous
  • add_drop_rule – Create a new log drop rule to filter ingestion","Search & Query Utilities
  • read_account – Retrieve account details
  • read_project – Read a specific project
  • list_projects – List all projects
  • read_project_collaborators – List collaborators on a project
  • read_project_nodes – Get compute nodes assigned to a project
  • read_compile – Read compilation results
  • read_file – Read a project file
  • read_backtest – Read backtest results
  • list_backtests – List all backtests for a project
  • read_backtest_chart – Retrieve backtest chart data
  • read_backtest_orders – Get orders from a backtest
  • read_backtest_insights – Get insights from a backtest
  • read_optimization – Read optimization results
  • list_optimizations – List all optimizations
  • read_live_algorithm – Read a live trading algorithm
  • list_live_algorithms – List all live trading algorithms
  • read_live_chart – Get live algorithm chart data
  • read_live_logs – Retrieve live algorithm logs
  • read_live_portfolio – Get live portfolio state
  • read_live_orders – Get live algorithm orders
  • read_live_insights – Get live algorithm insights
  • read_object_properties – Get object store item properties
  • read_object_store_file_job_id – Get job ID for object store file
  • read_object_store_file_download_url – Get download URL for object store file
  • list_object_store_files – List all files in object store
  • read_lean_versions – List available LEAN engine versions
  • read_mcp_server_version – Get current MCP server version
  • read_latest_mcp_server_version – Get latest available MCP server version
  • check_initialization_errors – Check for algorithm initialization errors
  • estimate_optimization_time – Estimate time for an optimization run
  • check_syntax – Check code syntax
  • search_quantconnect – Search QuantConnect documentation
  • authorize_connection – Authorize a live trading brokerage connection
 

 Project Management
  • create_project – Create a new project
  • update_project – Update project settings
  • delete_project – Delete a project
  • lock_project_with_collaborators – Lock project for multi-user editing
  • create_project_collaborator – Add a collaborator to a project
  • update_project_collaborator – Update collaborator permissions
  • delete_project_collaborator – Remove a collaborator from a project
  • update_project_nodes – Update compute nodes for a project
 

 Other
  • create_compile – Compile a project
  • create_file – Create a new file in a project
  • update_file_name – Rename a project file
  • update_file_contents – Update file contents
  • patch_file – Apply a patch to a file
  • delete_file – Delete a project file
  • create_backtest – Run a new backtest
  • update_backtest – Update backtest settings
  • delete_backtest – Delete a backtest
  • create_optimization – Create a parameter optimization run
  • update_optimization – Update an optimization
  • abort_optimization – Abort a running optimization
  • delete_optimization – Delete an optimization
  • create_live_algorithm – Deploy a live trading algorithm
  • stop_live_algorithm – Stop a live trading algorithm
  • liquidate_live_algorithm – Liquidate and stop a live algorithm
  • create_live_command – Send a command to a live algorithm
  • broadcast_live_command – Broadcast a command to multiple algorithms
  • upload_object – Upload a file to the object store
  • delete_object – Delete an object store file
  • complete_code – AI-assisted code completion
  • enhance_error_message – Enhance algorithm error messages
  • update_code_to_pep8 – Format code to PEP 8 standards","Search & Query Utilities
  • list/fetch operations – List and retrieve resources across 40+ Twilio API services (calls, messages, phone numbers, flows, recordings, conferences, etc.)
 

 Other
  • create/update/delete operations – Full CRUD for communications resources (send messages, make calls, manage phone numbers, configure flows, etc.)
  Note: Tools are auto-generated from Twilio OpenAPI specs (e.g., Api20100401Message, ServerlessV1Function) covering services including Core API, Chat, Messaging, Voice, Video, Verify, Lookups, Studio, TaskRouter, Sync, Flex, and Intelligence","Search & Query Utilities
  • screenshot_cua – Take a screenshot of the current screen
  • get_session_stats – Get statistics about active sessions and resource usage
 

 Other
  • run_cua_task – Run a single Computer-Use Agent task with the given instruction
  • run_multi_cua_tasks – Run multiple tasks in sequence or concurrently
  • cleanup_session – Cleanup a specific session and release its resources"
Capabilities - Resources,detailed_info,No,"BioMCP Overview
  • biomcp://help – BioMCP command reference and overview (text/markdown)
 

 Skill Guides (Pattern: Investigation Workflows)
  • biomcp://skill/[slug] – Guided investigation patterns and use cases (text/markdown). Examples: discovery workflows, entity pivot guides, study analysis patterns",No,"• /terraform/style-guide – Terraform Style Guide (text/markdown)
  • /terraform/module-development – Terraform Module Development Guide with 6 sections (text/markdown)",No,"Svelte-Doc-Section
  • Svelte documentation sections as URI-based resources (svelte://section_name.md) with completion support for section discovery",No,"Voice API Documentation
  • voice-api-overview – Complete Exotel Voice API reference
  • voice-connect-numbers – Connect two numbers API documentation
  • voice-call-flow – Call flow routing API documentation
  • voice-request-schema – Voice API request JSON schema
  • voice-response-schema – Voice API response formats
  • voice-callbacks-doc – Voice callback status events documentation
  • voice-examples – Voice API usage examples and code samples
 

 SMS API Documentation
  • sms-api-overview – Complete Exotel SMS API reference with DLT compliance
  • sms-send-api – Single SMS sending API documentation
  • sms-bulk-api – Bulk messaging API documentation
  • sms-request-schema – SMS API request JSON schema
  • sms-response-schema – SMS API response formats
  • sms-callbacks-doc – SMS callback and delivery status documentation
  • sms-examples – SMS API usage examples and code samples
 

 Error & Reference Resources
  • error-codes-doc – Complete error codes and troubleshooting guide",No,No,  • config://panther – Panther instance configuration (URL and environment details),No,No,No,No
Capabilities - Prompts,detailed_info,No,No,No,No,No,"Svelte Task Prompt
  • svelte_task – System prompt for Svelte development tasks; instructs LLM on available documentation, tool invocation sequencing, and code validation workflow using svelte_autofixer for iterative fixes",• chdb_initial_prompt – Setup instructions and usage guidance for chDB embedded queries,"Communication Workflows
  • send_sms – Send SMS with DLT template and entity IDs (required: phone_number, message, dlt_template_id, dlt_entity_id)
  • make_voice_call – Initiate voice call (required: phone_number)
  • connect_calls – Connect two numbers in voice call (required: from_number, to_number)
  • connect_call_flow – Route to Exotel call flow (required: app_id, from_number)
 

 Bulk Messaging
  • send_bulk_sms – Send identical SMS to multiple numbers (required: phone_numbers, message)
  • send_dynamic_bulk_sms – Send personalized SMS to multiple recipients (required: messages_json)
  • bulk_campaign – Execute bulk campaign with SMS and optional voice (required: campaign_type, recipient_list, sms_message)
 

 Status Checking & Information
  • check_sms_status – Check SMS delivery status (required: phone_number)
  • check_call_status – Check voice call status (required: phone_number)
  • get_call_details – Get call details by SID (required: call_sid)
  • lookup_number_info – Get phone number metadata (required: phone_number)
 

 Audio & Playback
  • quick_play_audio – Play audio in browser (required: audio_url)
  • open_audio_player – Open web audio player interface
  • download_audio – Get audio download link (required: audio_url)
 

 Advanced Workflows
  • communication_workflow – Execute complete SMS/voice workflows (required: workflow_type, phone_number)
  • open_audio_player – Open web-based audio player interface",No,No,No,No,No,No,No
Capabilities - Sampling,detailed_info,No,No,No,No,"Model Capabilities
  • LLM Provider Support – Routes to OpenAI, Anthropic, Google Gemini, AWS Bedrock with streaming support and tool calling
  • Token Counting – Token-based rate limiting with per-user and per-group limits (input tokens only)",No,No,No,No,No,No,No,No,No,No
